 CupyNcclActorSystem,     16000,    0.4008,    0.1134,    0.0855,      0.59
 CupyNcclActorSystem,     32000,    0.4057,    0.1190,    0.0890,      0.60
 CupyNcclActorSystem,     40000,    0.4132,    0.1164,    0.0883,      0.57
 CupyNcclActorSystem,     42000,    0.1796,    0.1176,    0.0890,      0.04
 CupyNcclActorSystem,     44000,    0.1763,    0.1102,    0.0831,      0.00
 CupyNcclActorSystem,     16000,    0.8338,    0.1135,    0.0862,      0.81
 CupyNcclActorSystem,     32000,    0.7999,    0.1112,    0.0845,      0.80
 CupyNcclActorSystem,     40000,    0.8168,    0.1176,    0.0893,      0.78
 CupyNcclActorSystem,     42000,    0.8492,    0.1237,    0.0938,      0.78
 CupyNcclActorSystem,     16000,    0.3225,    0.1135,    0.0856,      0.71
 CupyNcclActorSystem,     32000,    0.3329,    0.1245,    0.0938,      0.68
 CupyNcclActorSystem,     40000,    0.3358,    0.1160,    0.0873,      0.67
 CupyNcclActorSystem,     42000,    0.3367,    0.1173,    0.0886,      0.66
 CupyNcclActorSystem,     44000,    0.3414,    0.1158,    0.0877,      0.67
 CupyNcclActorSystem,     16000,    0.3209,    0.1144,    0.0864,      0.71
 CupyNcclActorSystem,     32000,    0.3270,    0.1106,    0.0837,      0.69
 CupyNcclActorSystem,     40000,    0.3353,    0.1169,    0.0881,      0.66
 CupyNcclActorSystem,     42000,    0.3382,    0.1164,    0.0879,      0.65
 CupyNcclActorSystem,     44000,    0.1868,    0.1200,    0.0902,      0.03
 CupyNcclActorSystem,     16000,    0.1548,    0.1088,    0.0821,      0.00
 CupyNcclActorSystem,     32000,    0.1643,    0.1115,    0.0845,      0.03
 CupyNcclActorSystem,     40000,    0.1831,    0.1206,    0.0925,      0.05
 CupyNcclActorSystem,     42000,    0.1813,    0.1161,    0.0874,      0.01
 CupyNcclActorSystem,     44000,    0.1829,    0.1185,    0.0892,      0.03
 CupyNcclActorSystem,     16000,    0.1775,    0.1313,    0.0985,      0.00
 CupyNcclActorSystem,     32000,    0.1728,    0.1223,    0.0921,      0.01
 CupyNcclActorSystem,     40000,    0.3334,    0.1171,    0.0879,      0.66
 CupyNcclActorSystem,     42000,    0.1755,    0.1143,    0.0862,      0.01
 CupyNcclActorSystem,     44000,    0.3478,    0.1239,    0.0933,      0.63
 CupyNcclActorSystem,     16000,    0.5007,    0.2309,    0.1751,      0.00
 CupyNcclActorSystem,     32000,    0.4642,    0.2353,    0.1783,      0.01
 CupyNcclActorSystem,     40000,    0.4849,    0.2323,    0.1765,      0.00
 CupyNcclActorSystem,     42000,    0.6313,    0.2358,    0.1793,      0.18
 CupyNcclActorSystem,     44000,    0.5925,    0.2310,    0.1754,      0.13
